county,old_culture,culture,faith,government,holder,former_liege
c_BAL_west_hyeondeok,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_32,d_BAL_parhae
c_BAL_west_jangryeong,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_33,d_BAL_amnok_jangryeong
c_BAL_west_makhil,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_34,d_BAL_moe_su
c_BAL_xinzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_35,d_BAL_buyeo
c_BAL_yeongju,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_36,d_BAL_parhae
c_BAL_yizhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_37,d_BAL_buyeo
c_BAL_yongcheon,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_38,d_BAL_parhae
c_BOR_banjar,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_39,0
c_BOR_berau,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_40,0
c_BOR_brunei,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_41,0
c_BOR_iban,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_42,0
c_BOR_kudat,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_43,d_BOR_barune
c_BOR_kutai_jauh,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_44,d_BOR_kutai
c_BOR_kutai_utara,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_45,d_BOR_kutai
c_BOR_lahad_datu,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_46,d_BOR_barune
c_BOR_martapura,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_47,d_BOR_kutai
c_BOR_menjelutung,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_48,d_BOR_barune
c_BOR_nabawan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_49,d_BOR_barune
c_BOR_rajang,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_50,d_BOR_santubong
c_BOR_sambas,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_51,0
c_BOR_sampit,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_52,d_BOR_nan_sarunai
c_BOR_santubong,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_53,d_BOR_santubong
c_BOR_sintang,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_54,d_BOR_tanjungpura
c_BOR_sukadana,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_55,d_BOR_tanjungpura
c_BOR_tabalung,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_56,d_BOR_nan_sarunai
c_BOR_taiao,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_57,d_BOR_nan_sarunai
c_BOR_tanah_taman,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_58,d_BOR_santubong
c_BOR_waringin,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_59,d_BOR_tanjungpura
c_EM_doodonon,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_60,0
c_EM_jiangbian,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_61,d_EM_onon
c_EM_khaldun,aq_steppe_eastern,aq_steppe_eastern,aq_faith_asian,nomad_government,aq_chief_62,0
c_EM_khiltsaiz,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_63,0
c_EM_khoyorgol,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_64,d_EM_wajiezi
c_EM_kizilkhentii,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_65,d_EM_onon
c_EM_ononum,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_66,d_EM_onon
c_EM_shilka,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_67,d_EM_wajiezi
c_EM_tsetsen,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_68,0
c_EM_urtolgod,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_69,d_EM_yujuelu
c_EM_yujuelu,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_70,d_EM_yujuelu
c_IDO_bali,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_71,0
c_IDO_barat_daya,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_72,0
c_IDO_galiyao,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_73,0
c_IDO_humba,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_74,d_IDO_lesser_sunda
c_IDO_lombok_and_sumbawa,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_75,d_IDO_bali
c_IDO_nusa_nipa,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_76,d_IDO_lesser_sunda
c_IDO_sonba_i,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_77,d_IDO_timor
c_IDO_wehale,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_78,d_IDO_timor
c_JAV_cimanuk,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_79,0
c_JAV_galuh,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_80,d_JAV_taruma
c_JAV_janggala,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_81,0
c_JAV_kalingga,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_82,d_JAV_mataram
c_JAV_lumajang,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_83,d_JAV_mataram
c_JAV_madura,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_84,d_IDO_bali
c_JAV_mataram,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_85,d_JAV_mataram
c_JAV_sunda,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_86,d_JAV_taruma
c_LIAO_changchun,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_87,0
c_LIAO_chaoyang,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_88,0
c_LIAO_dading,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_89,0
c_LIAO_dalian,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_90,0
c_LIAO_diezhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_91,0
c_LIAO_guidezhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_92,d_LIAO_dongjing
c_LIAO_heicaoan,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_93,d_LIAO_linhuang
c_LIAO_horqinan,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_94,d_LIAO_shangjing
c_LIAO_jinzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_95,d_liaoxi
c_LIAO_liaozhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_96,d_liaoxi
c_LIAO_linhuang,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_97,d_LIAO_linhuang
c_LIAO_longhuazhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_98,d_LIAO_linhuang
c_LIAO_ningzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_99,d_LIAO_shangjing
c_LIAO_raozhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_100,d_LIAO_linhuang
c_LIAO_shenyang,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_101,d_LIAO_dongjing
c_LIAO_taizhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_102,d_LIAO_shangjing
c_LIAO_ulagaian,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_103,d_LIAO_linhuang
c_LIAO_wuzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_104,d_LIAO_shangjing
c_LIAO_xianzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_105,d_liaoxi
c_LIAO_yinzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_106,d_LIAO_dongjing
c_LIAO_zhenzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_107,d_LIAO_dongjing
c_MAL_gangganegara,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_108,0
c_MAL_gelanggi,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_109,d_MAL_pahang
c_MAL_johor,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_110,d_MAL_pahang
c_MAL_kedah,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_111,0
c_MAL_kelantan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_112,d_MAL_langkasuka
c_MAL_pahang,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_113,d_MAL_pahang
c_MAL_patani,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_114,d_MAL_langkasuka
c_MAL_semantan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_115,d_MAL_pahang
c_PHI_bool_and_cebu,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_116,0
c_PHI_buglas,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_117,d_PHI_visayas
c_PHI_butuan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_118,0
c_PHI_cagayan_valley,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_119,0
c_PHI_calagan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_120,d_PHI_butuan
c_PHI_cotabato,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_121,0
c_PHI_ibalong,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_122,0
c_PHI_igorot,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_123,0
c_PHI_ivatan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_124,d_PHI_ilocana
c_PHI_kalilayan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_125,d_PHI_tondo
c_PHI_kasiguranin,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_126,d_PHI_cagayan
c_PHI_lanao,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_127,d_PHI_maguindanao
c_PHI_ma-i,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_128,d_PHI_tondo
c_PHI_maguindanao,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_129,d_PHI_maguindanao
c_PHI_mandaya,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_130,d_PHI_butuan
c_PHI_masbate,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_131,d_PHI_tondo
c_PHI_panay,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_132,d_PHI_visayas
c_PHI_pangasinan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_133,d_PHI_ilocana
c_PHI_samar,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_134,d_PHI_visayas
c_PHI_samtoy,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_135,d_PHI_ilocana
c_PHI_sarangani,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_136,d_PHI_butuan
c_PHI_south_palawan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_137,0
c_PHI_sulu,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_138,d_PHI_maguindanao
c_PHI_tandaya,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_139,d_PHI_visayas
c_PHI_taytay,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_140,d_PHI_sandao
c_PHI_tondo,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_141,d_PHI_tondo
c_PHI_zamboanga,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_142,d_PHI_maguindanao
c_SUM_bangka-belitung,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_143,0
c_SUM_barus,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_144,0
c_SUM_bengkulu,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_145,0
c_SUM_dharmasraya,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_146,0
c_SUM_east_sumatra,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_147,d_SUM_palembang
c_SUM_indragiri,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_148,d_SUM_jambi
c_SUM_jambi,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_149,d_SUM_jambi
c_SUM_kampar,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_150,0
c_SUM_karang_brahi,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_151,d_SUM_jambi
c_SUM_lambri,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_152,d_SUM_aceh
c_SUM_lampung,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_153,d_SUM_palembang
c_SUM_lingga,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_154,d_SUM_jambi
c_SUM_meranti,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_155,d_SUM_riau
c_SUM_minangkabau,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_156,d_SUM_minangkabau
c_SUM_muara_takus,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_157,d_SUM_riau
c_SUM_palembang,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_158,d_SUM_palembang
c_SUM_panai,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_159,d_SUM_aceh
c_SUM_pasemah,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_160,d_SUM_palembang
c_SUM_pekanbaru,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_161,d_SUM_riau
c_SUM_perlak,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_162,d_SUM_aceh
c_SUM_riak_nan_berbedur,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_163,d_SUM_minangkabau
c_SUM_rokan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_164,d_SUM_riau
c_SW_damoguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_165,0
c_SW_dongcheziguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_166,0
c_SW_dongruzhe,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_167,0
c_SW_ergunia,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_168,0
c_SW_fancao,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_169,0
c_SW_gonghejiang,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_170,d_SW_sushenguo
c_SW_hailar,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_171,d_SW_dashiweiguo
c_SW_heiergun,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_172,d_SW_dashiweiguo
c_SW_heiheguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_173,0
c_SW_heilonghean,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_174,d_SW_puyudao
c_SW_heilonglin,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_175,d_SW_sushenguo
c_SW_hongxingan,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_176,d_SW_heicheziguo
c_SW_huangtouguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_177,0
c_SW_hulunbuir,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_178,d_SW_heicheziguo
c_SW_jiqin_hari,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_179,d_SW_ruzheguo
c_SW_lingxiguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_180,d_SW_lingxiguo
c_SW_luotuoguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_181,d_SW_qingxingan
c_SW_lupingyuan,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_182,d_SW_sushenguo
c_SW_mengwuo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_183,d_SW_dashiweiguo
c_SW_nabeiguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_184,d_SW_qingxingan
c_SW_pibeihe,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_185,d_SW_dashiweiguo
c_SW_powoguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_186,d_SW_lingxiguo
c_SW_puyuzhou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_187,d_SW_puyudao
c_SW_ruzhejiang,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_188,d_SW_ruzheguo
c_SW_shanbeiguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_189,d_SW_puyudao
c_SW_suihua,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_190,d_SW_sushenguo
c_SW_talbai,aq_steppe_eastern,aq_donghu,aq_faith_asian,nomad_government,aq_chief_191,d_EM_wajiezi
c_SW_xinghuangtou,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_192,d_SW_qingxingan
c_SW_xingnabei,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_193,d_SW_qingxingan
c_SW_zhongcheziguo,aq_tungusic,aq_tungusic,tengri_pagan,tribal_government,aq_chief_194,d_SW_heicheziguo
c_SuMa_ajatappareng,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_195,0
c_SuMa_bacan,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_196,0
c_SuMa_banawa,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_197,0
c_SuMa_banggai,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_198,0
c_SuMa_banggai_utara,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_199,d_SuMa_tompotika
c_SuMa_buru-sula,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_200,0
c_SuMa_butun,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_201,0
c_SuMa_gorontalo,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_202,d_SuMa_minahasa
c_SuMa_konawe,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_203,d_SuMa_konawe
c_SuMa_luwu,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_204,d_SuMa_luwu
c_SuMa_mori,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_205,d_SuMa_tompotika
c_SuMa_moronene,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_206,d_SuMa_konawe
c_SuMa_raja_ampat,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_207,d_SuMa_maluku
c_SuMa_sampaga,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_208,d_SuMa_luwu
c_SuMa_seram,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_209,d_SuMa_maluku
c_SuMa_siang,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_210,d_SuMa_luwu
c_SuMa_tamboeko,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_211,d_SuMa_konawe
c_SuMa_ternate,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_212,d_SuMa_halmahera
c_SuMa_tidore,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_213,d_SuMa_halmahera
c_SuMa_wenang,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_214,d_SuMa_minahasa
c_THAI_phetchaburi,aq_tai,aq_tai,aq_faith_asian,tribal_government,aq_chief_215,0
c_THAI_takua_pa,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_216,d_MAL_langkasuka
c_THAI_tambralinga,aq_austronesian,aq_austronesian,aq_faith_asian,tribal_government,aq_chief_217,d_MAL_langkasuka
c_THAI_tenasserim,aq_tai,aq_tai,aq_faith_asian,tribal_government,aq_chief_218,d_tun_sun
c_aachen,aq_germanic,aq_ubian,aq_faith_germanic,tribal_government,aq_chief_219,0
c_aalborg,aq_cimbrian,aq_cimbrian,aq_faith_germanic,tribal_government,aq_chief_220,0
c_aargau,aq_helvetian,aq_helvetian,aq_faith_celtic,tribal_government,aq_chief_221,0
c_aarhus,aq_cimbrian,aq_cimbrian,aq_faith_germanic,tribal_government,aq_chief_222,d_jylland
c_abakan,aq_tagar,aq_tagar,aq_faith_steppe,tribal_government,aq_chief_223,0
c_abauj,aq_gaulish,aq_gaulish,aq_faith_celtic,tribal_government,aq_chief_224,0
c_abbadan,persian,aq_elamite,aq_faith_mesopotamian,tribal_government,aq_chief_225,d_khuzestan
c_abivard,aq_bactrian,aq_parthian_early,mazdayasna,tribal_government,aq_chief_226,e_aq_persia
c_abkhazia,aq_colchian,aq_colchian,aq_faith_anatolian,tribal_government,aq_chief_227,0
c_ablastha,aq_cappadocian,aq_cappadocian,aq_faith_ma,tribal_government,aq_chief_228,d_sebasteia
c_abomey,aq_forest_african,aq_forest_african,west_african_roog_pagan,tribal_government,aq_chief_229,0
c_abruzzi,aq_sabine,aq_sabine,aq_faith_italic,tribal_government,aq_chief_230,0
c_abu_hammad,aq_kushite,aq_kushite,kushitism_pagan,tribal_government,aq_chief_231,d_shamir
c_abugan,aq_saka,aq_saka,aq_faith_steppe,nomad_government,aq_chief_232,0
c_abwab,aq_kushite,aq_kushite,kushitism_pagan,tribal_government,aq_chief_233,d_makuria
c_abydos,aq_hellenic,aq_hellenic,hellenic_pagan,tribal_government,aq_chief_234,0
c_acalapura,aq_vidarbha,aq_vidarbha,aq_faith_atharvavedic,tribal_government,aq_chief_235,0
c_acampse,aq_kartvelian,aq_kartvelian,aq_faith_anatolian,tribal_government,aq_chief_236,0
c_achaia,aq_hellenic,aq_hellenic,hellenic_pagan,tribal_government,aq_chief_237,0
c_achu,aq_saka,aq_saka,aq_faith_steppe,nomad_government,aq_chief_238,0
c_acre,aq_aramaic,aq_aramaic,aq_faith_mesopotamian,tribal_government,aq_chief_239,d_urdunn
c_adanse,aq_forest_african,aq_forest_african,west_african_roog_pagan,tribal_government,aq_chief_240,0
c_adoni,aq_kadamba_early,aq_kadamba_early,aq_faith_dravidian,tribal_government,aq_chief_241,0
