county,old_culture,culture,faith,ruler,ruler_culture
c_BOR_rajang,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_50,aq_austronesian
c_BOR_sambas,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_51,aq_austronesian
c_BOR_sampit,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_52,aq_austronesian
c_BOR_santubong,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_53,aq_austronesian
c_BOR_sintang,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_54,aq_austronesian
c_BOR_sukadana,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_55,aq_austronesian
c_BOR_tabalung,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_56,aq_austronesian
c_BOR_taiao,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_57,aq_austronesian
c_BOR_tanah_taman,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_58,aq_austronesian
c_BOR_waringin,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_59,aq_austronesian
c_EM_doodonon,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_60,aq_steppe_eastern
c_EM_jiangbian,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_61,aq_steppe_eastern
c_EM_khaldun,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_62,aq_steppe_eastern
c_EM_khiltsaiz,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_63,aq_steppe_eastern
c_EM_khoyorgol,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_64,aq_steppe_eastern
c_EM_kizilkhentii,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_65,aq_steppe_eastern
c_EM_ononum,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_66,aq_steppe_eastern
c_EM_shilka,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_67,aq_steppe_eastern
c_EM_tsetsen,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_68,aq_steppe_eastern
c_EM_urtolgod,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_69,aq_steppe_eastern
c_EM_yujuelu,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_70,aq_steppe_eastern
c_IDO_bali,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_71,aq_austronesian
c_IDO_barat_daya,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_72,aq_austronesian
c_IDO_galiyao,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_73,aq_austronesian
c_IDO_humba,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_74,aq_austronesian
c_IDO_lombok_and_sumbawa,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_75,aq_austronesian
c_IDO_nusa_nipa,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_76,aq_austronesian
c_IDO_sonba_i,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_77,aq_austronesian
c_IDO_wehale,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_78,aq_austronesian
c_JAV_cimanuk,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_79,aq_austronesian
c_JAV_galuh,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_80,aq_austronesian
c_JAV_janggala,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_81,aq_austronesian
c_JAV_kalingga,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_82,aq_austronesian
c_JAV_lumajang,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_83,aq_austronesian
c_JAV_madura,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_84,aq_austronesian
c_JAV_mataram,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_85,aq_austronesian
c_JAV_sunda,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_86,aq_austronesian
c_LIAO_changchun,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_87,aq_tungusic
c_LIAO_chaoyang,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_88,aq_tungusic
c_LIAO_dading,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_89,aq_tungusic
c_LIAO_dalian,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_90,aq_tungusic
c_LIAO_diezhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_91,aq_tungusic
c_LIAO_guidezhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_92,aq_tungusic
c_LIAO_heicaoan,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_93,aq_tungusic
c_LIAO_horqinan,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_94,aq_tungusic
c_LIAO_jinzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_95,aq_tungusic
c_LIAO_liaozhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_96,aq_tungusic
c_LIAO_linhuang,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_97,aq_tungusic
c_LIAO_longhuazhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_98,aq_tungusic
c_LIAO_ningzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_99,aq_tungusic
c_LIAO_raozhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_100,aq_tungusic
c_LIAO_shenyang,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_101,aq_tungusic
c_LIAO_taizhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_102,aq_tungusic
c_LIAO_ulagaian,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_103,aq_tungusic
c_LIAO_wuzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_104,aq_tungusic
c_LIAO_xianzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_105,aq_tungusic
c_LIAO_yinzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_106,aq_tungusic
c_LIAO_zhenzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_107,aq_tungusic
c_MAL_gangganegara,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_108,aq_austronesian
c_MAL_gelanggi,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_109,aq_austronesian
c_MAL_johor,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_110,aq_austronesian
c_MAL_kedah,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_111,aq_austronesian
c_MAL_kelantan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_112,aq_austronesian
c_MAL_pahang,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_113,aq_austronesian
c_MAL_patani,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_114,aq_austronesian
c_MAL_semantan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_115,aq_austronesian
c_PHI_bool_and_cebu,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_116,aq_austronesian
c_PHI_buglas,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_117,aq_austronesian
c_PHI_butuan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_118,aq_austronesian
c_PHI_cagayan_valley,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_119,aq_austronesian
c_PHI_calagan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_120,aq_austronesian
c_PHI_cotabato,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_121,aq_austronesian
c_PHI_ibalong,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_122,aq_austronesian
c_PHI_igorot,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_123,aq_austronesian
c_PHI_ivatan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_124,aq_austronesian
c_PHI_kalilayan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_125,aq_austronesian
c_PHI_kasiguranin,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_126,aq_austronesian
c_PHI_lanao,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_127,aq_austronesian
c_PHI_ma-i,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_128,aq_austronesian
c_PHI_maguindanao,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_129,aq_austronesian
c_PHI_mandaya,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_130,aq_austronesian
c_PHI_masbate,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_131,aq_austronesian
c_PHI_panay,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_132,aq_austronesian
c_PHI_pangasinan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_133,aq_austronesian
c_PHI_samar,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_134,aq_austronesian
c_PHI_samtoy,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_135,aq_austronesian
c_PHI_sarangani,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_136,aq_austronesian
c_PHI_south_palawan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_137,aq_austronesian
c_PHI_sulu,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_138,aq_austronesian
c_PHI_tandaya,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_139,aq_austronesian
c_PHI_taytay,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_140,aq_austronesian
c_PHI_tondo,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_141,aq_austronesian
c_PHI_zamboanga,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_142,aq_austronesian
c_SUM_bangka-belitung,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_143,aq_austronesian
c_SUM_barus,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_144,aq_austronesian
c_SUM_bengkulu,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_145,aq_austronesian
c_SUM_dharmasraya,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_146,aq_austronesian
c_SUM_east_sumatra,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_147,aq_austronesian
c_SUM_indragiri,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_148,aq_austronesian
c_SUM_jambi,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_149,aq_austronesian
c_SUM_kampar,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_150,aq_austronesian
c_SUM_karang_brahi,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_151,aq_austronesian
c_SUM_lambri,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_152,aq_austronesian
c_SUM_lampung,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_153,aq_austronesian
c_SUM_lingga,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_154,aq_austronesian
c_SUM_meranti,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_155,aq_austronesian
c_SUM_minangkabau,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_156,aq_austronesian
c_SUM_muara_takus,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_157,aq_austronesian
c_SUM_palembang,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_158,aq_austronesian
c_SUM_panai,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_159,aq_austronesian
c_SUM_pasemah,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_160,aq_austronesian
c_SUM_pekanbaru,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_161,aq_austronesian
c_SUM_perlak,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_162,aq_austronesian
c_SUM_riak_nan_berbedur,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_163,aq_austronesian
c_SUM_rokan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_164,aq_austronesian
c_SW_damoguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_165,aq_tungusic
c_SW_dongcheziguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_166,aq_tungusic
c_SW_dongruzhe,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_167,aq_tungusic
c_SW_ergunia,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_168,aq_tungusic
c_SW_fancao,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_169,aq_tungusic
c_SW_gonghejiang,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_170,aq_tungusic
c_SW_hailar,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_171,aq_tungusic
c_SW_heiergun,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_172,aq_tungusic
c_SW_heiheguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_173,aq_tungusic
c_SW_heilonghean,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_174,aq_tungusic
c_SW_heilonglin,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_175,aq_tungusic
c_SW_hongxingan,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_176,aq_tungusic
c_SW_huangtouguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_177,aq_tungusic
c_SW_hulunbuir,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_178,aq_tungusic
c_SW_jiqin_hari,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_179,aq_tungusic
c_SW_lingxiguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_180,aq_tungusic
c_SW_luotuoguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_181,aq_tungusic
c_SW_lupingyuan,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_182,aq_tungusic
c_SW_mengwuo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_183,aq_tungusic
c_SW_nabeiguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_184,aq_tungusic
c_SW_pibeihe,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_185,aq_tungusic
c_SW_powoguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_186,aq_tungusic
c_SW_puyuzhou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_187,aq_tungusic
c_SW_ruzhejiang,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_188,aq_tungusic
c_SW_shanbeiguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_189,aq_tungusic
c_SW_suihua,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_190,aq_tungusic
c_SW_talbai,aq_steppe_eastern,aq_steppe_eastern,tengri_pagan,aq_chief_191,aq_steppe_eastern
c_SW_xinghuangtou,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_192,aq_tungusic
c_SW_xingnabei,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_193,aq_tungusic
c_SW_zhongcheziguo,aq_tungusic,aq_tungusic,tengri_pagan,aq_chief_194,aq_tungusic
c_SuMa_ajatappareng,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_195,aq_austronesian
c_SuMa_bacan,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_196,aq_austronesian
c_SuMa_banawa,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_197,aq_austronesian
c_SuMa_banggai,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_198,aq_austronesian
c_SuMa_banggai_utara,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_199,aq_austronesian
c_SuMa_buru-sula,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_200,aq_austronesian
c_SuMa_butun,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_201,aq_austronesian
c_SuMa_gorontalo,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_202,aq_austronesian
c_SuMa_konawe,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_203,aq_austronesian
c_SuMa_luwu,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_204,aq_austronesian
c_SuMa_mori,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_205,aq_austronesian
c_SuMa_moronene,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_206,aq_austronesian
c_SuMa_raja_ampat,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_207,aq_austronesian
c_SuMa_sampaga,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_208,aq_austronesian
c_SuMa_seram,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_209,aq_austronesian
c_SuMa_siang,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_210,aq_austronesian
c_SuMa_tamboeko,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_211,aq_austronesian
c_SuMa_ternate,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_212,aq_austronesian
c_SuMa_tidore,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_213,aq_austronesian
c_SuMa_wenang,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_214,aq_austronesian
c_THAI_phetchaburi,aq_tai,aq_tai,aq_faith_asian,aq_chief_215,aq_tai
c_THAI_takua_pa,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_216,aq_austronesian
c_THAI_tambralinga,aq_austronesian,aq_austronesian,aq_faith_asian,aq_chief_217,aq_austronesian
c_THAI_tenasserim,aq_tai,aq_tai,aq_faith_asian,aq_chief_218,aq_tai
c_aachen,aq_germanic,aq_germanic,aq_faith_germanic,aq_chief_219,aq_germanic
c_aalborg,aq_germanic,aq_cimbrian,aq_faith_germanic,aq_chief_220,aq_cimbrian
c_aargau,aq_gaulish,aq_helvetian,aq_faith_celtic,aq_chief_221,aq_helvetian
c_aarhus,aq_germanic,aq_cimbrian,aq_faith_germanic,aq_chief_222,aq_cimbrian
c_abakan,aq_tagar,aq_tagar,aq_faith_steppe,aq_chief_223,aq_tagar
c_abauj,aq_gaulish,aq_gaulish,aq_faith_celtic,aq_chief_224,aq_gaulish
c_abbadan,aq_persian,aq_persian,mazdayasna,aq_chief_225,aq_persian
c_abivard,aq_bactrian,aq_bactrian,mazdayasna,aq_chief_226,aq_bactrian
c_abkhazia,aq_kartvelian,aq_colchian,aq_faith_anatolian,aq_chief_227,aq_colchian
c_ablastha,aq_anatolian,aq_cappadocian,aq_faith_ma,aq_chief_228,aq_cappadocian
c_abomey,aq_forest_african,aq_forest_african,west_african_roog_pagan,aq_chief_229,aq_forest_african
c_abruzzi,aq_italic,aq_sabine,aq_faith_italic,aq_chief_230,aq_sabine
c_abu_hammad,aq_kushite,aq_kushite,kushitism_pagan,aq_chief_231,aq_kushite
c_abugan,aq_saka,aq_saka,aq_faith_steppe,aq_chief_232,aq_saka
c_abwab,aq_kushite,aq_kushite,kushitism_pagan,aq_chief_233,aq_kushite
c_abydos,aq_hellenic,aq_hellenic,hellenic_pagan,aq_chief_234,aq_hellenic
c_acalapura,aq_dravidian,aq_vidarbha,aq_faith_atharvavedic,aq_chief_235,aq_vidarbha
c_acampse,aq_kartvelian,aq_kartvelian,aq_faith_anatolian,aq_chief_236,aq_kartvelian
c_achaia,aq_hellenic,aq_hellenic,hellenic_pagan,aq_chief_237,aq_hellenic
c_achu,aq_saka,aq_saka,aq_faith_steppe,aq_chief_238,aq_saka
c_acre,aq_aramaic,aq_aramaic,aq_faith_mesopotamian,aq_chief_239,aq_aramaic
c_adanse,aq_forest_african,aq_forest_african,west_african_roog_pagan,aq_chief_240,aq_forest_african
c_adoni,aq_dravidian,aq_kadamba_early,aq_faith_dravidian,aq_chief_241,aq_kadamba_early
c_adrianopolis,aq_thracian,aq_odrysian,aq_faith_balkan,aq_thrace,aq_odrysian
c_aeolis,aq_anatolian,aq_aeolian,hellenic_pagan,aq_chief_243,aq_aeolian
c_aetolia,aq_hellenic,aq_hellenic,hellenic_pagan,aq_chief_244,aq_hellenic
c_afar,aq_cushitic,aq_cushitic,aq_faith_african,aq_chief_245,aq_cushitic
c_afram,aq_forest_african,aq_forest_african,west_african_roog_pagan,aq_chief_246,aq_forest_african
c_agadir,aq_berber,aq_maurian,aq_faith_libyan,aq_chief_247,aq_maurian
c_agairik,aq_saka,aq_saka,aq_faith_steppe,aq_chief_248,aq_saka
c_agaw_meder,aq_ethiopian,aq_ethiopian,aq_faith_african,aq_chief_249,aq_ethiopian
c_agdeside,aq_germanic,aq_rugian,aq_faith_germanic,aq_chief_250,aq_rugian
c_agenais,aq_gaulish,aq_aquitani,aq_faith_iberian,aq_chief_251,aq_aquitani
c_agrigento,aq_hellenic,aq_sicanian,aq_faith_sicanian,aq_chief_252,aq_sicanian
c_ahqaf,aq_sabaean,aq_sabaean,aq_faith_arabian,aq_chief_253,aq_sabaean
c_ahvaz,aq_persian,aq_persian,mazdayasna,aq_chief_254,aq_persian
c_aigun,aq_saka,aq_saka,aq_faith_steppe,aq_chief_255,aq_saka
c_ailech,aq_goidelic,aq_voluntian,aq_faith_celtic,aq_chief_256,aq_voluntian
c_ain_galakka,aq_saharan,aq_saharan,aq_faith_libyan,aq_chief_257,aq_saharan
c_aintab,aq_aramaic,aq_aramaic,aq_faith_mesopotamian,aq_chief_258,aq_aramaic
c_air,aq_saharan,aq_saharan,aq_faith_libyan,aq_chief_259,aq_saharan
c_airyuk,aq_saka,aq_saka,aq_faith_steppe,aq_chief_260,aq_saka
c_ajaccio,aq_italic,aq_corsican,aq_faith_nuragic,aq_chief_261,aq_corsican
c_ajayameru,aq_indo_aryan,aq_matsya,aq_faith_rigvedic,aq_chief_262,aq_matsya
c_ak-dzulpas,aq_saka,aq_saka,aq_faith_steppe,aq_chief_263,aq_saka
c_ak-taylak,aq_saka,aq_saka,aq_faith_steppe,aq_chief_264,aq_saka
c_akhadid,aq_aramaic,aq_aramaic,aq_faith_mesopotamian,aq_chief_265,aq_aramaic
c_aki,aq_yayoi,aq_yayoi,aq_faith_asian,aq_chief_266,aq_yayoi
c_akkel,aq_sami,aq_sami,finnish_pagan,aq_chief_267,aq_sami
c_akkityk,aq_saka,aq_saka,aq_faith_steppe,aq_chief_268,aq_saka
c_aksay,aq_tibetan,aq_tibetan,bon,aq_chief_269,aq_tibetan
c_aksu,aq_tocharian,aq_tocharian,aq_faith_steppe,aq_chief_270,aq_tocharian
c_aksuyek,aq_saka,aq_saka,aq_faith_steppe,aq_chief_271,aq_saka
