county_id,source_county_name,implemented_county_name,de_jure_duchy,de_jure_kingdom,top_realm,holder,government,source_basis
c_BAL_ilanshan,Ilanshan,Ilanshan,d_BAL_hoewon,k_luzhen,c_BAL_ilanshan,aq_chief_16,tribal_government,K
c_BAL_jeongni,Dìngli,Dìngli,d_BAL_yeojintang,k_luzhen,c_BAL_jeongni,aq_chief_17,tribal_government,K
c_BAL_jixi,Jixi,Jixi,d_BAL_dongpyeong,k_luzhen,c_BAL_jixi,aq_chief_18,tribal_government,K
c_BAL_makhil,Makhil,Makhil,d_BAL_moe_su,k_balhae,c_BAL_makhil,aq_chief_19,tribal_government,K
c_BAL_namhae,Nánhai,Nánhai,d_BAL_southern_balhae,k_balhae,c_BAL_namhae,aq_chief_20,tribal_government,K
c_BAL_ningzhou,Níngzhōu,Níngzhōu,d_BAL_anwon,k_luzhen,c_BAL_ningzhou,aq_chief_21,tribal_government,K
c_BAL_north_anbyeon,North Ānbiān,North Ānbiān,d_BAL_yeojintang,k_luzhen,c_BAL_north_anbyeon,aq_chief_22,tribal_government,K
c_BAL_north_anwon,North Ānyuan,North Ānyuan,d_BAL_anwon,k_luzhen,c_BAL_north_anwon,aq_chief_23,tribal_government,K
c_BAL_northyongwon,North Lóngyuán,North Lóngyuán,d_BAL_southern_balhae,k_balhae,c_BAL_northyongwon,aq_chief_24,tribal_government,K
c_BAL_sokju,Chénzhōu,Chénzhōu,d_BAL_moe_su,k_balhae,c_BAL_sokju,aq_chief_25,tribal_government,K
c_BAL_solbin,Shuàibīn,Shuàibīn,d_BAL_yeojintang,k_luzhen,c_BAL_solbin,aq_chief_26,tribal_government,K
c_BAL_south_hoewon,South Huáiyuǎn,South Huáiyuǎn,d_BAL_hoewon,k_luzhen,c_BAL_south_hoewon,aq_chief_27,tribal_government,K
c_BAL_southyongwon,South Lóngyuán,South Lóngyuán,d_BAL_southern_balhae,k_balhae,c_BAL_southyongwon,aq_chief_28,tribal_government,K
c_BAL_supin,Supin,Supin,d_BAL_anwon,k_luzhen,c_BAL_supin,aq_chief_29,tribal_government,K
c_BAL_west_amnok,West Yālü,West Yālü,d_BAL_amnok_jangryeong,k_balhae,c_BAL_west_amnok,aq_chief_30,tribal_government,K
c_BAL_west_cheolli,West Tielì,West Tielì,d_BAL_cheolli,k_luzhen,c_BAL_west_cheolli,aq_chief_31,tribal_government,K
c_BAL_west_hyeondeok,West Xiandé,West Xiandé,d_BAL_parhae,k_balhae,c_BAL_west_hyeondeok,aq_chief_32,tribal_government,K
c_BAL_west_jangryeong,West Zhangling,West Zhangling,d_BAL_amnok_jangryeong,k_balhae,c_BAL_west_jangryeong,aq_chief_33,tribal_government,K
c_BAL_west_makhil,West Makhil,West Makhil,d_BAL_moe_su,k_balhae,c_BAL_west_makhil,aq_chief_34,tribal_government,K
c_BAL_xinzhou,Xinzhou,Xinzhou,d_BAL_buyeo,k_balhae,c_BAL_xinzhou,aq_chief_35,tribal_government,K
c_BAL_yeongju,Yingzhōu,Yingzhōu,d_BAL_parhae,k_balhae,c_BAL_yeongju,aq_chief_36,tribal_government,K
c_BAL_yizhou,Yizhou,Yizhou,d_BAL_buyeo,k_balhae,c_BAL_yizhou,aq_chief_37,tribal_government,K
c_BAL_yongcheon,Lóngquán,Lóngquán,d_BAL_parhae,k_balhae,c_BAL_yongcheon,aq_chief_38,tribal_government,K
c_BOR_banjar,Banjar,Banjar,d_BOR_nan_sarunai,k_tanjungnagara,c_BOR_banjar,aq_chief_39,tribal_government,K
c_BOR_berau,Berau,Berau,d_BOR_kutai,k_tanjungnagara,c_BOR_berau,aq_chief_40,tribal_government,K
c_BOR_brunei,Brunei,Brunei,d_BOR_barune,k_tanjungnagara,c_BOR_brunei,aq_chief_41,tribal_government,K
c_BOR_iban,Iban,Iban,d_BOR_santubong,k_tanjungnagara,c_BOR_iban,aq_chief_42,tribal_government,K
c_BOR_kudat,Kudat,Kudat,d_BOR_barune,k_tanjungnagara,c_BOR_kudat,aq_chief_43,tribal_government,K
c_BOR_kutai_jauh,Kutai Jauh,Kutai Jauh,d_BOR_kutai,k_tanjungnagara,c_BOR_kutai_jauh,aq_chief_44,tribal_government,K
c_BOR_kutai_utara,Kutai Utara,Kutai Utara,d_BOR_kutai,k_tanjungnagara,c_BOR_kutai_utara,aq_chief_45,tribal_government,K
c_BOR_lahad_datu,Lahad Datu,Lahad Datu,d_BOR_barune,k_tanjungnagara,c_BOR_lahad_datu,aq_chief_46,tribal_government,K
c_BOR_martapura,Martapura,Martapura,d_BOR_kutai,k_tanjungnagara,c_BOR_martapura,aq_chief_47,tribal_government,K
c_BOR_menjelutung,Menjelutung,Menjelutung,d_BOR_barune,k_tanjungnagara,c_BOR_menjelutung,aq_chief_48,tribal_government,K
c_BOR_nabawan,Nabawan,Nabawan,d_BOR_barune,k_tanjungnagara,c_BOR_nabawan,aq_chief_49,tribal_government,K
c_BOR_rajang,Rajang,Rajang,d_BOR_santubong,k_tanjungnagara,c_BOR_rajang,aq_chief_50,tribal_government,K
c_BOR_sambas,Sambas,Sambas,d_BOR_tanjungpura,k_tanjungnagara,c_BOR_sambas,aq_chief_51,tribal_government,K
c_BOR_sampit,Sampit,Sampit,d_BOR_nan_sarunai,k_tanjungnagara,c_BOR_sampit,aq_chief_52,tribal_government,K
c_BOR_santubong,Santubong,Santubong,d_BOR_santubong,k_tanjungnagara,c_BOR_santubong,aq_chief_53,tribal_government,K
c_BOR_sintang,Sintang,Sintang,d_BOR_tanjungpura,k_tanjungnagara,c_BOR_sintang,aq_chief_54,tribal_government,K
c_BOR_sukadana,Sukadana,Sukadana,d_BOR_tanjungpura,k_tanjungnagara,c_BOR_sukadana,aq_chief_55,tribal_government,K
c_BOR_tabalung,Tabalung,Tabalung,d_BOR_nan_sarunai,k_tanjungnagara,c_BOR_tabalung,aq_chief_56,tribal_government,K
c_BOR_taiao,Taiao,Taiao,d_BOR_nan_sarunai,k_tanjungnagara,c_BOR_taiao,aq_chief_57,tribal_government,K
c_BOR_tanah_taman,Tanah Taman,Tanah Taman,d_BOR_santubong,k_tanjungnagara,c_BOR_tanah_taman,aq_chief_58,tribal_government,K
c_BOR_waringin,Waringin,Waringin,d_BOR_tanjungpura,k_tanjungnagara,c_BOR_waringin,aq_chief_59,tribal_government,K
c_EM_doodonon,Doodonon,Doodonon,d_EM_onon,k_otuken,c_EM_doodonon,aq_chief_60,nomad_government,K
c_EM_jiangbian,Jiangbian,Jiangbian,d_EM_onon,k_otuken,c_EM_jiangbian,aq_chief_61,nomad_government,K
c_EM_khaldun,Khaldun,Khaldun,d_ogrash,k_otuken,c_EM_khaldun,aq_chief_62,nomad_government,K
c_EM_khiltsaiz,Khiltsaiz,Khiltsaiz,d_EM_wajiezi,k_otuken,c_EM_khiltsaiz,aq_chief_63,nomad_government,K
c_EM_khoyorgol,Khoyorgol,Khoyorgol,d_EM_wajiezi,k_otuken,c_EM_khoyorgol,aq_chief_64,nomad_government,K
c_EM_kizilkhentii,Kizilkhentii,Kizilkhentii,d_EM_onon,k_otuken,c_EM_kizilkhentii,aq_chief_65,nomad_government,K
c_EM_ononum,Ononum,Ononum,d_EM_onon,k_otuken,c_EM_ononum,aq_chief_66,nomad_government,K
c_EM_shilka,Shilka,Shilka,d_EM_wajiezi,k_otuken,c_EM_shilka,aq_chief_67,nomad_government,K
c_EM_tsetsen,Tsetsen,Tsetsen,d_EM_yujuelu,k_otuken,c_EM_tsetsen,aq_chief_68,nomad_government,K
c_EM_urtolgod,Urtolgod,Urtolgod,d_EM_yujuelu,k_otuken,c_EM_urtolgod,aq_chief_69,nomad_government,K
c_EM_yujuelu,Yujuelu,Yujuelu,d_EM_yujuelu,k_otuken,c_EM_yujuelu,aq_chief_70,nomad_government,K
c_IDO_bali,Bali,Bali,d_IDO_bali,k_yavakadvipa,c_IDO_bali,aq_chief_71,tribal_government,K
c_IDO_barat_daya,Barat Daya,Barat Daya,d_IDO_timor,k_maluku,c_IDO_barat_daya,aq_chief_72,tribal_government,K
c_IDO_galiyao,Galiyao,Galiyao,d_IDO_lesser_sunda,k_maluku,c_IDO_galiyao,aq_chief_73,tribal_government,K
c_IDO_humba,Humba,Humba,d_IDO_lesser_sunda,k_maluku,c_IDO_humba,aq_chief_74,tribal_government,K
c_IDO_lombok_and_sumbawa,Lombok and Sumbawa,Lombok and Sumbawa,d_IDO_bali,k_yavakadvipa,c_IDO_lombok_and_sumbawa,aq_chief_75,tribal_government,K
c_IDO_nusa_nipa,Nusa Nipa,Nusa Nipa,d_IDO_lesser_sunda,k_maluku,c_IDO_nusa_nipa,aq_chief_76,tribal_government,K
c_IDO_sonba_i,Sonba'i,Sonba'i,d_IDO_timor,k_maluku,c_IDO_sonba_i,aq_chief_77,tribal_government,K
c_IDO_wehale,Wehale,Wehale,d_IDO_timor,k_maluku,c_IDO_wehale,aq_chief_78,tribal_government,K
c_JAV_cimanuk,Cimanuk,Cimanuk,d_JAV_taruma,k_yavakadvipa,c_JAV_cimanuk,aq_chief_79,tribal_government,K
c_JAV_galuh,Galuh,Galuh,d_JAV_taruma,k_yavakadvipa,c_JAV_galuh,aq_chief_80,tribal_government,K
c_JAV_janggala,Janggala,Janggala,d_JAV_mataram,k_yavakadvipa,c_JAV_janggala,aq_chief_81,tribal_government,K
c_JAV_kalingga,Kalingga,Kalingga,d_JAV_mataram,k_yavakadvipa,c_JAV_kalingga,aq_chief_82,tribal_government,K
c_JAV_lumajang,Lumajang,Lumajang,d_JAV_mataram,k_yavakadvipa,c_JAV_lumajang,aq_chief_83,tribal_government,K
c_JAV_madura,Madura,Madura,d_IDO_bali,k_yavakadvipa,c_JAV_madura,aq_chief_84,tribal_government,K
c_JAV_mataram,Mataram,Mataram,d_JAV_mataram,k_yavakadvipa,c_JAV_mataram,aq_chief_85,tribal_government,K
c_JAV_sunda,Sunda,Sunda,d_JAV_taruma,k_yavakadvipa,c_JAV_sunda,aq_chief_86,tribal_government,K
c_LIAO_changchun,Changchun,Changchun,d_LIAO_shangjing,k_khitan,c_LIAO_changchun,aq_chief_87,tribal_government,K
c_LIAO_chaoyang,Chaoyang,Chaoyang,d_liaoxi,k_raole,c_LIAO_chaoyang,aq_chief_88,tribal_government,K
c_LIAO_dading,Dading,Dading,d_LIAO_zhongjing,k_raole,c_LIAO_dading,aq_chief_89,tribal_government,K
c_LIAO_dalian,Dalian,Dalian,d_LIAO_linhuang,k_khitan,c_LIAO_dalian,aq_chief_90,tribal_government,K
c_LIAO_diezhou,Diezhou,Diezhou,d_LIAO_dongjing,k_balhae,c_LIAO_diezhou,aq_chief_91,tribal_government,K
c_LIAO_guidezhou,Guidezhou,Guidezhou,d_LIAO_dongjing,k_balhae,c_LIAO_guidezhou,aq_chief_92,tribal_government,K
c_LIAO_heicaoan,Heicaoan,Heicaoan,d_LIAO_linhuang,k_khitan,c_LIAO_heicaoan,aq_chief_93,tribal_government,K
c_LIAO_horqinan,Horqinan,Horqinan,d_LIAO_shangjing,k_khitan,c_LIAO_horqinan,aq_chief_94,tribal_government,K
c_LIAO_jinzhou,Jinzhou,Jinzhou,d_liaoxi,k_raole,c_LIAO_jinzhou,aq_chief_95,tribal_government,K
c_LIAO_liaozhou,Liaozhou,Liaozhou,d_liaoxi,k_raole,c_LIAO_liaozhou,aq_chief_96,tribal_government,K
c_LIAO_linhuang,Linhuang,Linhuang,d_LIAO_linhuang,k_khitan,c_LIAO_linhuang,aq_chief_97,tribal_government,K
c_LIAO_longhuazhou,Longhuazhou,Longhuazhou,d_LIAO_linhuang,k_khitan,c_LIAO_longhuazhou,aq_chief_98,tribal_government,K
c_LIAO_ningzhou,Ningzhou,Ningzhou,d_LIAO_shangjing,k_khitan,c_LIAO_ningzhou,aq_chief_99,tribal_government,K
c_LIAO_raozhou,Raozhou,Raozhou,d_LIAO_linhuang,k_khitan,c_LIAO_raozhou,aq_chief_100,tribal_government,K
c_LIAO_shenyang,Shenyang,Shenyang,d_LIAO_dongjing,k_balhae,c_LIAO_shenyang,aq_chief_101,tribal_government,K
c_LIAO_taizhou,Taizhou,Taizhou,d_LIAO_shangjing,k_khitan,c_LIAO_taizhou,aq_chief_102,tribal_government,K
c_LIAO_ulagaian,Ulagaian,Ulagaian,d_LIAO_linhuang,k_khitan,c_LIAO_ulagaian,aq_chief_103,tribal_government,K
c_LIAO_wuzhou,Wuzhou,Wuzhou,d_LIAO_shangjing,k_khitan,c_LIAO_wuzhou,aq_chief_104,tribal_government,K
c_LIAO_xianzhou,Xianzhou,Xianzhou,d_liaoxi,k_raole,c_LIAO_xianzhou,aq_chief_105,tribal_government,K
c_LIAO_yinzhou,Yínzhōu,Yínzhōu,d_LIAO_dongjing,k_balhae,c_LIAO_yinzhou,aq_chief_106,tribal_government,K
c_LIAO_zhenzhou,Zhenzhou,Zhenzhou,d_LIAO_dongjing,k_balhae,c_LIAO_zhenzhou,aq_chief_107,tribal_government,K
c_MAL_gangganegara,Gangganegara,Gangganegara,d_MAL_pahang,k_hujung_medini,c_MAL_gangganegara,aq_chief_108,tribal_government,K
c_MAL_gelanggi,Gelanggi,Gelanggi,d_MAL_pahang,k_hujung_medini,c_MAL_gelanggi,aq_chief_109,tribal_government,K
c_MAL_johor,Johor,Johor,d_MAL_pahang,k_hujung_medini,c_MAL_johor,aq_chief_110,tribal_government,K
c_MAL_kedah,Kedah,Kedah,d_MAL_langkasuka,k_hujung_medini,c_MAL_kedah,aq_chief_111,tribal_government,K
c_MAL_kelantan,Kelantan,Kelantan,d_MAL_langkasuka,k_hujung_medini,c_MAL_kelantan,aq_chief_112,tribal_government,K
c_MAL_pahang,Pahang,Pahang,d_MAL_pahang,k_hujung_medini,c_MAL_pahang,aq_chief_113,tribal_government,K
c_MAL_patani,Patani,Patani,d_MAL_langkasuka,k_hujung_medini,c_MAL_patani,aq_chief_114,tribal_government,K
c_MAL_semantan,Semantan,Semantan,d_MAL_pahang,k_hujung_medini,c_MAL_semantan,aq_chief_115,tribal_government,K
c_PHI_bool_and_cebu,Bool and Cebu,Bool and Cebu,d_PHI_visayas,k_kabisay-an,c_PHI_bool_and_cebu,aq_chief_116,tribal_government,K
c_PHI_buglas,Buglas,Buglas,d_PHI_visayas,k_kabisay-an,c_PHI_buglas,aq_chief_117,tribal_government,K
c_PHI_butuan,Butuan,Butuan,d_PHI_butuan,k_kabisay-an,c_PHI_butuan,aq_chief_118,tribal_government,K
c_PHI_cagayan_valley,Cagayan Valley,Cagayan Valley,d_PHI_cagayan,k_lusung,c_PHI_cagayan_valley,aq_chief_119,tribal_government,K
c_PHI_calagan,Calagan,Calagan,d_PHI_butuan,k_kabisay-an,c_PHI_calagan,aq_chief_120,tribal_government,K
c_PHI_cotabato,Cotabato,Cotabato,d_PHI_maguindanao,k_kabisay-an,c_PHI_cotabato,aq_chief_121,tribal_government,K
c_PHI_ibalong,Ibalong,Ibalong,d_PHI_tondo,k_lusung,c_PHI_ibalong,aq_chief_122,tribal_government,K
c_PHI_igorot,Igorot,Igorot,d_PHI_ilocana,k_lusung,c_PHI_igorot,aq_chief_123,tribal_government,K
c_PHI_ivatan,Ivatan,Ivatan,d_PHI_ilocana,k_lusung,c_PHI_ivatan,aq_chief_124,tribal_government,K
c_PHI_kalilayan,Kalilayan,Kalilayan,d_PHI_tondo,k_lusung,c_PHI_kalilayan,aq_chief_125,tribal_government,K
c_PHI_kasiguranin,Kasiguranin,Kasiguranin,d_PHI_cagayan,k_lusung,c_PHI_kasiguranin,aq_chief_126,tribal_government,K
c_PHI_lanao,Lanao,Lanao,d_PHI_maguindanao,k_kabisay-an,c_PHI_lanao,aq_chief_127,tribal_government,K
c_PHI_ma-i,Ma-i,Ma-i,d_PHI_tondo,k_lusung,c_PHI_ma-i,aq_chief_128,tribal_government,K
c_PHI_maguindanao,Maguindanao,Maguindanao,d_PHI_maguindanao,k_kabisay-an,c_PHI_maguindanao,aq_chief_129,tribal_government,K
c_PHI_mandaya,Mandaya,Mandaya,d_PHI_butuan,k_kabisay-an,c_PHI_mandaya,aq_chief_130,tribal_government,K
c_PHI_masbate,Masbate,Masbate,d_PHI_tondo,k_lusung,c_PHI_masbate,aq_chief_131,tribal_government,K
c_PHI_panay,Panay,Panay,d_PHI_visayas,k_kabisay-an,c_PHI_panay,aq_chief_132,tribal_government,K
c_PHI_pangasinan,Pangasinan,Pangasinan,d_PHI_ilocana,k_lusung,c_PHI_pangasinan,aq_chief_133,tribal_government,K
c_PHI_samar,Samar,Samar,d_PHI_visayas,k_kabisay-an,c_PHI_samar,aq_chief_134,tribal_government,K
c_PHI_samtoy,Samtoy,Samtoy,d_PHI_ilocana,k_lusung,c_PHI_samtoy,aq_chief_135,tribal_government,K
c_PHI_sarangani,Sarangani,Sarangani,d_PHI_butuan,k_kabisay-an,c_PHI_sarangani,aq_chief_136,tribal_government,K
c_PHI_south_palawan,South Palawan,South Palawan,d_PHI_sandao,k_lusung,c_PHI_south_palawan,aq_chief_137,tribal_government,K
c_PHI_sulu,Sulu,Sulu,d_PHI_maguindanao,k_kabisay-an,c_PHI_sulu,aq_chief_138,tribal_government,K
c_PHI_tandaya,Tandaya,Tandaya,d_PHI_visayas,k_kabisay-an,c_PHI_tandaya,aq_chief_139,tribal_government,K
c_PHI_taytay,Taytay,Taytay,d_PHI_sandao,k_lusung,c_PHI_taytay,aq_chief_140,tribal_government,K
c_PHI_tondo,Tondo,Tondo,d_PHI_tondo,k_lusung,c_PHI_tondo,aq_chief_141,tribal_government,K
c_PHI_zamboanga,Zamboanga,Zamboanga,d_PHI_maguindanao,k_kabisay-an,c_PHI_zamboanga,aq_chief_142,tribal_government,K
c_SUM_bangka-belitung,Bangka-Belitung,Bangka-Belitung,d_SUM_palembang,k_malayadvipa,c_SUM_bangka-belitung,aq_chief_143,tribal_government,K
c_SUM_barus,Barus,Barus,d_SUM_aceh,k_malayadvipa,c_SUM_barus,aq_chief_144,tribal_government,K
c_SUM_bengkulu,Bengkulu,Bengkulu,d_SUM_minangkabau,k_malayadvipa,c_SUM_bengkulu,aq_chief_145,tribal_government,K
c_SUM_dharmasraya,Dharmasraya,Dharmasraya,d_SUM_jambi,k_malayadvipa,c_SUM_dharmasraya,aq_chief_146,tribal_government,K
c_SUM_east_sumatra,East Sumatra,East Sumatra,d_SUM_palembang,k_malayadvipa,c_SUM_east_sumatra,aq_chief_147,tribal_government,K
c_SUM_indragiri,Indragiri,Indragiri,d_SUM_jambi,k_malayadvipa,c_SUM_indragiri,aq_chief_148,tribal_government,K
c_SUM_jambi,Jambi,Jambi,d_SUM_jambi,k_malayadvipa,c_SUM_jambi,aq_chief_149,tribal_government,K
c_SUM_kampar,Kampar,Kampar,d_SUM_riau,k_malayadvipa,c_SUM_kampar,aq_chief_150,tribal_government,K
c_SUM_karang_brahi,Karang Brahi,Karang Brahi,d_SUM_jambi,k_malayadvipa,c_SUM_karang_brahi,aq_chief_151,tribal_government,K
c_SUM_lambri,Lambri,Lambri,d_SUM_aceh,k_malayadvipa,c_SUM_lambri,aq_chief_152,tribal_government,K
c_SUM_lampung,Lampung,Lampung,d_SUM_palembang,k_malayadvipa,c_SUM_lampung,aq_chief_153,tribal_government,K
c_SUM_lingga,Lingga,Lingga,d_SUM_jambi,k_malayadvipa,c_SUM_lingga,aq_chief_154,tribal_government,K
c_SUM_meranti,Meranti,Meranti,d_SUM_riau,k_malayadvipa,c_SUM_meranti,aq_chief_155,tribal_government,K
c_SUM_minangkabau,Minangkabau,Minangkabau,d_SUM_minangkabau,k_malayadvipa,c_SUM_minangkabau,aq_chief_156,tribal_government,K
c_SUM_muara_takus,Muara Takus,Muara Takus,d_SUM_riau,k_malayadvipa,c_SUM_muara_takus,aq_chief_157,tribal_government,K
c_SUM_palembang,Palembang,Palembang,d_SUM_palembang,k_malayadvipa,c_SUM_palembang,aq_chief_158,tribal_government,K
c_SUM_panai,Panai,Panai,d_SUM_aceh,k_malayadvipa,c_SUM_panai,aq_chief_159,tribal_government,K
c_SUM_pasemah,Pasemah,Pasemah,d_SUM_palembang,k_malayadvipa,c_SUM_pasemah,aq_chief_160,tribal_government,K
c_SUM_pekanbaru,Pekanbaru,Pekanbaru,d_SUM_riau,k_malayadvipa,c_SUM_pekanbaru,aq_chief_161,tribal_government,K
c_SUM_perlak,Perlak,Perlak,d_SUM_aceh,k_malayadvipa,c_SUM_perlak,aq_chief_162,tribal_government,K
c_SUM_riak_nan_berbedur,Riak nan Berbedur,Riak nan Berbedur,d_SUM_minangkabau,k_malayadvipa,c_SUM_riak_nan_berbedur,aq_chief_163,tribal_government,K
c_SUM_rokan,Rokan,Rokan,d_SUM_riau,k_malayadvipa,c_SUM_rokan,aq_chief_164,tribal_government,K
c_SW_damoguo,Damoguo,Damoguo,d_SW_puyudao,k_shiwei,c_SW_damoguo,aq_chief_165,tribal_government,K
c_SW_dongcheziguo,Dongcheziguo,Dongcheziguo,d_SW_heicheziguo,k_shiwei,c_SW_dongcheziguo,aq_chief_166,tribal_government,K
c_SW_dongruzhe,Dongruzhe,Dongruzhe,d_SW_ruzheguo,k_shiwei,c_SW_dongruzhe,aq_chief_167,tribal_government,K
c_SW_ergunia,Ergunia,Ergunia,d_SW_dashiweiguo,k_shiwei,c_SW_ergunia,aq_chief_168,tribal_government,K
c_SW_fancao,Fancao,Fancao,d_SW_sushenguo,k_shiwei,c_SW_fancao,aq_chief_169,tribal_government,K
c_SW_gonghejiang,Gonghejiang,Gonghejiang,d_SW_sushenguo,k_shiwei,c_SW_gonghejiang,aq_chief_170,tribal_government,K
c_SW_hailar,Hailar,Hailar,d_SW_dashiweiguo,k_shiwei,c_SW_hailar,aq_chief_171,tribal_government,K
c_SW_heiergun,Heiergun,Heiergun,d_SW_dashiweiguo,k_shiwei,c_SW_heiergun,aq_chief_172,tribal_government,K
c_SW_heiheguo,Heiheguo,Heiheguo,d_SW_lingxiguo,k_shiwei,c_SW_heiheguo,aq_chief_173,tribal_government,K
c_SW_heilonghean,Heilonghean,Heilonghean,d_SW_puyudao,k_shiwei,c_SW_heilonghean,aq_chief_174,tribal_government,K
c_SW_heilonglin,Heilonglin,Heilonglin,d_SW_sushenguo,k_shiwei,c_SW_heilonglin,aq_chief_175,tribal_government,K
c_SW_hongxingan,Hongxingan,Hongxingan,d_SW_heicheziguo,k_shiwei,c_SW_hongxingan,aq_chief_176,tribal_government,K
c_SW_huangtouguo,Huangtouguo,Huangtouguo,d_SW_qingxingan,k_shiwei,c_SW_huangtouguo,aq_chief_177,tribal_government,K
c_SW_hulunbuir,Hulunbuir,Hulunbuir,d_SW_heicheziguo,k_shiwei,c_SW_hulunbuir,aq_chief_178,tribal_government,K
c_SW_jiqin_hari,Jiqin Hari,Jiqin Hari,d_SW_ruzheguo,k_shiwei,c_SW_jiqin_hari,aq_chief_179,tribal_government,K
c_SW_lingxiguo,Lingxiguo,Lingxiguo,d_SW_lingxiguo,k_shiwei,c_SW_lingxiguo,aq_chief_180,tribal_government,K
c_SW_luotuoguo,Luotuoguo,Luotuoguo,d_SW_qingxingan,k_shiwei,c_SW_luotuoguo,aq_chief_181,tribal_government,K
c_SW_lupingyuan,Lupingyuan,Lupingyuan,d_SW_sushenguo,k_shiwei,c_SW_lupingyuan,aq_chief_182,tribal_government,K
c_SW_mengwuo,Mengwuo,Mengwuo,d_SW_dashiweiguo,k_shiwei,c_SW_mengwuo,aq_chief_183,tribal_government,K
c_SW_nabeiguo,Nabeiguo,Nabeiguo,d_SW_qingxingan,k_shiwei,c_SW_nabeiguo,aq_chief_184,tribal_government,K
c_SW_pibeihe,Pibeihe,Pibeihe,d_SW_dashiweiguo,k_shiwei,c_SW_pibeihe,aq_chief_185,tribal_government,K
c_SW_powoguo,Powoguo,Powoguo,d_SW_lingxiguo,k_shiwei,c_SW_powoguo,aq_chief_186,tribal_government,K
c_SW_puyuzhou,Puyuzhou,Puyuzhou,d_SW_puyudao,k_shiwei,c_SW_puyuzhou,aq_chief_187,tribal_government,K
c_SW_ruzhejiang,Ruzhejiang,Ruzhejiang,d_SW_ruzheguo,k_shiwei,c_SW_ruzhejiang,aq_chief_188,tribal_government,K
c_SW_shanbeiguo,Shanbeiguo,Shanbeiguo,d_SW_puyudao,k_shiwei,c_SW_shanbeiguo,aq_chief_189,tribal_government,K
c_SW_suihua,Suihua,Suihua,d_SW_sushenguo,k_shiwei,c_SW_suihua,aq_chief_190,tribal_government,K
c_SW_talbai,Talbai,Talbai,d_EM_wajiezi,k_otuken,c_SW_talbai,aq_chief_191,nomad_government,K
c_SW_xinghuangtou,Xinghuangtou,Xinghuangtou,d_SW_qingxingan,k_shiwei,c_SW_xinghuangtou,aq_chief_192,tribal_government,K
c_SW_xingnabei,Xingnabei,Xingnabei,d_SW_qingxingan,k_shiwei,c_SW_xingnabei,aq_chief_193,tribal_government,K
c_SW_zhongcheziguo,Zhongcheziguo,Zhongcheziguo,d_SW_heicheziguo,k_shiwei,c_SW_zhongcheziguo,aq_chief_194,tribal_government,K
c_SuMa_ajatappareng,Ajatappareng,Ajatappareng,d_SuMa_luwu,k_sulawesi,c_SuMa_ajatappareng,aq_chief_195,tribal_government,K
c_SuMa_bacan,Bacan,Bacan,d_SuMa_halmahera,k_maluku,c_SuMa_bacan,aq_chief_196,tribal_government,K
c_SuMa_banawa,Banawa,Banawa,d_SuMa_minahasa,k_sulawesi,c_SuMa_banawa,aq_chief_197,tribal_government,K
